local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
6/2/2025 2:00,0,0,0.54,0.55,mins,49.5,48.2,mph
6/2/2025 3:00,0,0,0.59,0.58,mins,44.8,45.5,mph
6/2/2025 4:00,0.02,0,0.56,0.51,mins,47.8,51.8,mph
6/2/2025 5:00,0.01,0,0.54,0.54,mins,48.9,48.9,mph
6/2/2025 6:00,0.03,0,0.59,0.53,mins,44.8,50,mph
6/2/2025 7:00,0.04,0,0.65,0.56,mins,41.2,47.4,mph
6/2/2025 8:00,0.07,0.01,0.72,0.58,mins,36.9,45.6,mph
6/2/2025 9:00,0.04,0.02,0.62,0.56,mins,43.1,47.9,mph
6/2/2025 10:00,0.04,0,0.63,0.55,mins,42.7,47.8,mph
6/2/2025 11:00,0.02,0,0.62,0.54,mins,43,48.9,mph
6/2/2025 12:00,0.05,0,0.64,0.55,mins,41.5,47.9,mph
6/2/2025 13:00,0.02,0.03,0.63,0.57,mins,42.4,47.9,mph
6/2/2025 14:00,0.07,0.03,0.67,0.58,mins,40.1,46.5,mph
6/2/2025 15:00,0.06,0,0.65,0.56,mins,41,47.5,mph
6/2/2025 16:00,0.07,0,0.65,0.54,mins,41.9,48.4,mph
6/2/2025 17:00,0.01,0,0.6,0.53,mins,44.6,49.4,mph
6/2/2025 18:00,0.01,0,0.56,0.53,mins,47,49.8,mph
6/2/2025 19:00,0.01,0,0.55,0.54,mins,47.8,49.3,mph
6/2/2025 20:00,0.03,0,0.65,0.54,mins,40.9,48.8,mph
6/2/2025 21:00,0,0,0.54,0.56,mins,48.9,47.7,mph
6/2/2025 22:00,0,0,0.6,0.55,mins,44,48.2,mph
6/2/2025 23:00,0.01,0,0.57,0.54,mins,47,49.1,mph
6/3/2025 0:00,0,0,0.56,0.53,mins,47.1,50.3,mph
6/3/2025 1:00,0,0,0.58,0.57,mins,45.8,46.4,mph
6/3/2025 2:00,0,0,0.6,0.48,mins,44,54.4,mph
6/3/2025 3:00,0,0,0.59,0.53,mins,44.8,49.5,mph
6/3/2025 4:00,0,0,0.56,0.58,mins,47,45.4,mph
6/3/2025 5:00,0.01,0,0.54,0.59,mins,48.8,44.8,mph
6/3/2025 6:00,0.04,0,0.64,0.55,mins,41.7,48.2,mph
6/3/2025 7:00,0.04,0,0.66,0.53,mins,40,49.6,mph
6/3/2025 8:00,0.06,0,0.69,0.57,mins,38.4,46.8,mph
6/3/2025 9:00,0.05,0.01,0.65,0.56,mins,41.6,47.5,mph
6/3/2025 10:00,0.01,0,0.59,0.54,mins,44.6,48.8,mph
6/3/2025 11:00,0.01,0,0.58,0.55,mins,45.3,47.7,mph
6/3/2025 12:00,0.06,0.01,0.65,0.58,mins,42.4,45.6,mph
6/3/2025 13:00,0.01,0,0.57,0.56,mins,46.5,47.5,mph
6/3/2025 14:00,0.03,0,0.62,0.56,mins,42.2,47.3,mph
6/3/2025 15:00,0.04,0,0.63,0.55,mins,42,47.7,mph
6/3/2025 16:00,0.01,0,0.6,0.55,mins,44.3,48.1,mph
6/3/2025 17:00,0,0,0.57,0.53,mins,46.2,49.3,mph
6/3/2025 18:00,0.01,0,0.58,0.52,mins,45.5,50.5,mph
6/3/2025 19:00,0.06,0.03,0.6,0.56,mins,46,48.2,mph
6/3/2025 20:00,0.04,0.01,0.64,0.58,mins,41.4,46.4,mph
6/3/2025 21:00,0.03,0,0.62,0.56,mins,43.1,46.8,mph
6/3/2025 22:00,0.01,0,0.62,0.56,mins,42.7,46.9,mph
6/3/2025 23:00,0,0,0.54,0.56,mins,49.2,47.5,mph
6/4/2025 0:00,0.02,0,0.61,0.52,mins,43.5,50.4,mph
6/4/2025 1:00,0,0,0.54,0.57,mins,49.2,45.9,mph
6/4/2025 2:00,0,0,0.56,0.55,mins,47.4,47.6,mph
6/4/2025 3:00,0.02,0,0.63,0.59,mins,42,44.4,mph
6/4/2025 4:00,0.02,0,0.55,0.56,mins,48.4,47.4,mph
6/4/2025 5:00,0.02,0,0.6,0.51,mins,44.2,51.5,mph
6/4/2025 6:00,0.07,0,0.66,0.55,mins,40.1,47.8,mph
6/4/2025 7:00,0.04,0,0.64,0.57,mins,41.9,46.1,mph
6/4/2025 8:00,0.04,0,0.66,0.55,mins,40.1,47.6,mph
6/4/2025 9:00,0.06,0,0.66,0.53,mins,41,50.2,mph
6/4/2025 10:00,0.03,0,0.61,0.58,mins,43.2,45.3,mph
6/4/2025 11:00,0.04,0,0.64,0.55,mins,41.7,48.4,mph
6/4/2025 12:00,0.05,0,0.64,0.54,mins,41.8,48.6,mph
6/4/2025 13:00,0.06,0.01,0.68,0.58,mins,38.9,45.2,mph
6/4/2025 14:00,0.02,0.01,0.6,0.56,mins,44,47.4,mph
6/4/2025 15:00,0.03,0,0.6,0.55,mins,44.9,47.6,mph
6/4/2025 16:00,0.01,0,0.6,0.58,mins,44.4,45.5,mph
6/4/2025 17:00,0.04,0.01,0.58,0.55,mins,47.4,48.2,mph
6/4/2025 18:00,0.03,0.01,0.59,0.58,mins,45.3,45.3,mph
6/4/2025 19:00,0.01,0,0.56,0.53,mins,47.5,49.9,mph
6/4/2025 20:00,0.02,0,0.6,0.56,mins,44.1,47.3,mph
6/4/2025 21:00,0.01,0,0.64,0.55,mins,41.3,48,mph
6/4/2025 22:00,0,0,0.59,0.54,mins,45,48.8,mph
6/4/2025 23:00,0,0,0.59,0.51,mins,44.7,51.4,mph
6/5/2025 0:00,0,0,0.59,0.56,mins,44.9,46.8,mph
6/5/2025 1:00,0,0,0.6,0.55,mins,43.7,47.7,mph
6/5/2025 2:00,0,0,0.6,0.51,mins,44.1,51.8,mph
6/5/2025 3:00,0.01,0,0.6,0.57,mins,44,46,mph
6/5/2025 4:00,0,0,0.55,0.59,mins,47.8,44.9,mph
6/5/2025 5:00,0.04,0,0.63,0.55,mins,42.1,47.8,mph
6/5/2025 6:00,0.1,0.01,0.71,0.58,mins,38,46,mph
6/5/2025 7:00,0.05,0,0.65,0.55,mins,41.2,47.7,mph
